101,29.790001,90.959999,29.480000,130.000000,32.380001
102,54.400002,55.090000,94.599998,54.529999,51.889999
103,272.109131,278.974640,276.015198,275.237976,166.260010
104,191.832825,102.890884,99.706734,39.287506,96.812050
105,216.070007,304.489990,391.250000,282.470001,278.700012
106,182.539993,184.580002,174.389999,176.429993,172.369995
107,172.895493,171.830948,171.015106,168.756653,166.149994
108,42.880001,43.299999,42.520000,43.419998,142.090000
109,20.969999,21.200001,21.719999,22.250000,122.379999
110,377.559998,178.589996,360.459991,348.179993,339.640015
